Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.07976688,-23.82366,29.976822,0.020679332,-0.037210282,0.024945548,30.371338,21.114641,4.1771874,-13.289474,0.0,0.0,0.0,0.0,0.0,0.0,446.32898,1276.6461,-201.0,1285.0249,1459.8761,-201.0,2364.4585,697.46564,-201.0
0.0797606,-24.978895,31.97703,0.02418156,-0.036863014,0.03241679,30.169258,20.468765,5.197785,-12.238009,0.0,0.0,0.0,0.0,0.0,0.0,453.20447,1265.8195,-201.0,1396.2916,1513.5106,-201.0,2391.5984,824.5742,-201.0
0.07699496,-24.28869,31.073648,0.01551282,-0.040008962,0.034847666,29.778421,19.107132,7.257543,-12.4227705,0.0,0.0,0.0,0.0,0.0,0.0,514.2911,1199.5494,-201.0,1729.9908,1286.3082,-201.0,2583.8867,1129.148,-201.0
0.07467247,-24.532415,31.003382,0.0072311293,-0.043597024,0.031977028,28.892448,18.88453,6.499943,-13.9177475,0.0,0.0,0.0,0.0,0.0,0.0,519.7319,1179.3739,-201.0,1684.497,1355.9153,-201.0,2538.4482,1058.972,-201.0
0.07401139,-24.09529,28.56779,-0.0030714131,-0.04546094,0.023589687,29.501184,20.815308,5.655679,-10.9286,0.0,0.0,0.0,0.0,0.0,0.0,516.5749,1199.3654,-201.0,1604.9525,1339.2704,-201.0,2517.3289,986.37006,-201.0
0.073842876,-24.80802,29.844584,-0.023163259,-0.04420802,0.015987482,29.48387,21.991873,4.320701,-8.767966,0.0,0.0,0.0,0.0,0.0,0.0,497.03857,1215.1681,-201.0,1327.6759,2204.1567,-201.0,2336.571,812.5402,-201.0
0.0732845,-25.139389,33.913906,-0.029425653,-0.04335113,0.020332554,30.524878,21.150665,2.8874052,-6.5059047,0.0,0.0,0.0,0.0,0.0,0.0,498.74332,1215.8148,-201.0,1457.1537,2073.8586,-201.0,2416.5051,1148.3605,-201.0
0.07198761,-25.138018,36.886913,-0.03035106,-0.04220389,0.01644818,29.095419,19.667303,2.0361974,-9.222077,0.0,0.0,0.0,0.0,0.0,0.0,513.4996,1208.233,-201.0,1618.3134,2089.9607,-201.0,2564.4788,1668.9321,-201.0
0.072305165,-24.963875,37.36681,-0.027762616,-0.042544067,0.02465751,29.803627,18.881243,3.139848,-9.156175,0.0,0.0,0.0,0.0,0.0,0.0,489.2294,1208.2313,-201.0,1601.8505,1527.3639,-201.0,2574.9988,1537.7397,-201.0
0.07247137,-24.348755,34.269024,-0.021356652,-0.04035164,0.019557202,29.042395,19.521776,3.4205844,-9.25291,0.0,0.0,0.0,0.0,0.0,0.0,482.44778,1222.9683,-201.0,1446.2567,1555.2296,-201.0,2482.79,1221.8926,-201.0
0.07047615,-22.256659,30.761984,-0.00742151,-0.036482457,0.025162362,29.36119,19.291372,2.116209,-9.316447,0.0,0.0,0.0,0.0,0.0,0.0,468.0438,1238.7743,-201.0,1276.0853,1539.4713,-201.0,2346.6555,758.8294,-201.0
0.06905438,-22.351507,30.633118,-0.011570695,-0.03298858,0.024184605,28.730497,20.032408,3.0920622,-8.088407,0.0,0.0,0.0,0.0,0.0,0.0,500.95166,1235.8333,-201.0,1558.9308,1350.789,-201.0,2530.505,977.5866,-201.0
0.066745825,-23.007105,32.197857,-0.021364942,-0.034991503,0.023292521,29.029694,19.638567,4.9925346,-7.551996,0.0,0.0,0.0,0.0,0.0,0.0,521.7114,1238.3701,-201.0,1836.4769,1207.7792,-201.0,2635.3284,1547.983,-201.0
0.06702698,-23.473063,31.994148,-0.01756383,-0.03633072,0.02824603,29.885588,20.39203,6.4706206,-6.238565,0.0,0.0,0.0,0.0,0.0,0.0,537.9795,1383.1562,-201.0,1739.3121,1431.9576,-201.0,2556.8928,1550.3619,-201.0
0.06774315,-23.6356,31.776987,-0.0135633955,-0.03625419,0.02675409,30.737127,21.462492,6.567323,-4.322245,0.0,0.0,0.0,0.0,0.0,0.0,592.96265,1366.2168,-201.0,1735.5951,1338.4656,-201.0,2652.5469,1449.1227,-201.0
0.06785405,-22.909246,32.427135,-0.010223958,-0.03474991,0.033776533,29.586039,20.763186,6.347799,-6.8079505,0.0,0.0,0.0,0.0,0.0,0.0,575.1077,1301.2913,-201.0,1614.7905,1327.3054,-201.0,2704.5537,1303.275,-201.0
0.06673485,-22.82001,32.174656,-0.020148123,-0.035021406,0.029787704,28.430847,20.235983,7.9906754,-6.2816086,0.0,0.0,0.0,0.0,0.0,0.0,564.5362,1145.9714,-201.0,1731.1058,1223.1522,-201.0,2694.742,1240.6346,-201.0
0.06370857,-21.595385,30.770256,-0.017783666,-0.033172954,0.023078144,27.28396,18.748274,6.9972553,-7.674742,0.0,0.0,0.0,0.0,0.0,0.0,466.70337,1153.0498,-201.0,1469.7627,1443.2501,-201.0,2404.235,1153.8632,-201.0
0.062028468,-21.25344,29.99507,-0.01363995,-0.032295216,0.017863587,27.293755,18.207575,3.6883757,-7.6664567,0.0,0.0,0.0,0.0,0.0,0.0,475.0944,1186.841,-201.0,1421.5924,1711.6475,-201.0,2261.536,866.20734,-201.0
0.0640252,-22.106918,31.553064,-0.018502967,-0.034534972,0.017374776,28.050932,20.136454,3.244858,-7.9040513,0.0,0.0,0.0,0.0,0.0,0.0,549.72906,1210.3687,-201.0,1580.9752,1441.7054,-201.0,2535.695,799.4051,-201.0
0.064417474,-25.259668,36.257458,-0.029890647,-0.036422085,0.036046926,27.654276,21.38798,4.107,-6.072478,0.0,0.0,0.0,0.0,0.0,0.0,560.09546,1197.3319,-201.0,1764.6841,1329.2733,-201.0,2735.7004,951.07574,-201.0
0.06555755,-26.463827,37.51437,-0.041600067,-0.040393893,0.041291747,28.182138,23.111244,8.091904,-3.293028,0.0,0.0,0.0,0.0,0.0,0.0,555.0877,1211.8488,-201.0,1798.7457,1208.1879,-201.0,2857.2717,928.7744,-201.0
0.06400908,-26.29848,37.73791,-0.04286539,-0.03684817,0.041068763,28.17605,21.618582,9.817401,-2.47412,0.0,0.0,0.0,0.0,0.0,0.0,501.2323,1250.7021,-201.0,1757.1664,2760.8652,-201.0,2556.4504,1112.209,-201.0
0.06392885,-23.337286,34.633945,-0.025253614,-0.03772071,0.025042757,28.576294,20.043211,7.6497703,-5.065183,0.0,0.0,0.0,0.0,0.0,0.0,522.8243,1288.2638,-201.0,1839.92,2879.4922,-201.0,2452.9436,1169.5682,-201.0
0.06448861,-22.22278,32.664494,-0.015192423,-0.03241395,0.016962634,28.13732,19.794302,9.373743,-5.6729813,0.0,0.0,0.0,0.0,0.0,0.0,522.25055,1316.1698,-201.0,1902.2643,2838.3672,-201.0,2486.008,1186.8007,-201.0
0.06420181,-23.724447,34.14595,-0.023046464,-0.035899777,0.016314257,28.236824,21.807302,8.79054,-7.4663854,0.0,0.0,0.0,0.0,0.0,0.0,562.38214,1302.8973,-201.0,1996.7461,1320.6637,-201.0,2825.129,1169.8383,-201.0
0.06392104,-23.559359,32.941433,-0.025811436,-0.03426196,0.022458015,27.6117,22.601381,10.369439,-7.6717033,0.0,0.0,0.0,0.0,0.0,0.0,533.6799,1263.7296,-201.0,1788.6517,1346.1389,-201.0,2777.9072,1117.2794,-201.0
0.061922893,-24.02934,33.409405,-0.03039855,-0.031442225,0.026850566,27.635641,23.919058,8.968601,-6.6817164,0.0,0.0,0.0,0.0,0.0,0.0,536.4051,1295.7767,-201.0,1754.2421,1499.6234,-201.0,2750.4617,1274.9165,-201.0
0.061250526,-24.24945,34.179073,-0.030097684,-0.025295973,0.029978914,26.537813,22.681189,8.622109,-3.7311547,0.0,0.0,0.0,0.0,0.0,0.0,490.32114,1282.9252,-201.0,1689.1022,1557.1451,-201.0,2678.6702,1253.141,-201.0
0.061168853,-25.598593,35.44066,-0.042604525,-0.027793529,0.025287159,25.317842,23.865992,10.807599,-1.1486207,0.0,0.0,0.0,0.0,0.0,0.0,496.83118,1281.9437,-201.0,1864.9808,1377.0869,-201.0,2823.323,1465.4008,-201.0
0.06528754,-25.135162,35.37674,-0.04861483,-0.027000057,0.0254613,22.18216,21.360815,13.199271,-1.7440904,0.0,0.0,0.0,0.0,0.0,0.0,487.0996,1166.772,-201.0,1874.2782,1066.7451,-201.0,2676.0852,1398.984,-201.0
